provider_id,website,location_name,phone,email,address_1,address_2,city,state,zip
20,https://behaviorlearning.hi5aba.com,https://behaviorlearning.hi5aba.com,(801) 500-4248,Joe.dixon@hi5aba.com,,,,,
21,https://www.blueautism.com/,,(801) 495-5105,,2540 East Bengal Blvd,suite 300,Cottonwood Heights,UT,84121
22,https://bluegemsaba.com/aba-therapy-in-utah/,https://bluegemsaba.com/aba-therapy-in-utah/,(801) 466-2573,info@bluegemsaba.com,,,,,
23,brighterstridesaba.com,https://bluegemsaba.com/aba-therapy-in-utah/,(801) 720-2996,info@brighterstridesaba.com,,,,,
24,https://buddiesbehavior.com/,https://bluegemsaba.com/aba-therapy-in-utah/,(385) 266-5328,admin@buddiesbehavior.com,,,,,
25,https://catalystbehavior.com/,South Ogden,1-866-569-7395,,6033 Fashion Point Dr,,South Ogden,UT,84403
25,https://catalystbehavior.com/,Farmington,,,1438 N Hwy 89,Suite 130,Farmington,UT,84025
26,https://cedartreeaba.com/,https://cedartreeaba.com/,(801) 810-2896,info@cedartreeaba.com,,,,,
27,https://www.chrysalis.care/autism,http://www.gochrysalis.com/contact,,autismservices@gochrysalis.com,,,,,
28,http://www.behavioralhealthservices.net/,http://www.behavioralhealthservices.net/,1-800-828-5659,contact@autismspectrumalliance.com,,,,,
29,https://crimsonheightsbh.com/,,(801) 872-3489,admin@crimsoncounseling.net,1240 E 100 S,Building 7,St. George,UT,84780
30,www.discoveryaba.com,,(385) 354-5250,info@discoveryaba.com,,,,,
31,https://www.elevationbx.com/,,801-923-3537,services@elevationbx.com,,,,,
32,http://eatonalliance.com,Utah County,(801) 768-0608,,281 S Vineyard Rd,Ste 103,Orem,UT,84058
32,http://eatonalliance.com,Salt Lake County,,,825 N 300 W,Ste W107,Salt Lake City,UT,84103
33,www.fabianhouse.com,www.fabianhouse.com,(801) 917-0940,info@fabianhouse.com,3118 N 1200 W,,Lehi,UT,84043
34,www.goldenstepsaba.com/utah,www.goldenstepsaba.com/utah,(801) 653-3111,info@goldenstepsaba.com,,,,,
35,www.goldentouchaba.com,www.goldentouchaba.com,(801) 630-5443,info@goldentouchaba.com,,,,,
36,www.honeyaba.org,www.honeyaba.org,(801) 317-8225,tricia.hayner@honeyaba.org,,,,,
37,https://www.iatutah.com/,,(801) 885-1700,barb@iatutah.com,7733 S Redwood Road,,West Jordan,UT,84084
38,www.justparent.com/,www.justparent.com/,(385) 376-3787,,,,,,
39,kotm.org,,(385) 292-5633,autismintake@kotm.org,475 West 260 North,,Orem,UT,84057
40,https://kyocare.com,,1-877-264-6747,info@kyocare.com,9980 S 300 W,,Sandy,UT,94070
41,https://www.learningsolutionsinc.org/,,(435) 789-5683,Madilyn.Bernard@learningsolutionsinc.org,1360 W Highway 40,STE B,Vernal,UT,84078
42,www.lexingtonservices.com,www.lexingtonservices.com,801-980-7970,utahinfo@lexingtonservices.com,,,,,
43,www.lighthouseyouthandfamily.com,,(435)790-2757,lbretorr.aba@gmail.com,365 W 50 N,Suite W8,Vernal,UT,84078
44,www.manningbehaviorservices.com/,www.manningbehaviorservices.com/,(801) 548-3091,christine@manningbehaviorservices.com,,,,,
45,www.mendability.com,,1-888-579-7002,,915 South 500 East,Ste 101,American Fork,UT,84003
46,http://www.neurobcg.com/,Bountiful,(801) 683-1062,admin@neurobcg.com,415 S. Medical Drive,Suite D101,Bountiful,UT,84010
46,http://www.neurobcg.com/,Layton,(801) 683-1063,,327 W. Gordon Ave.,Suite 2,Layton,UT,84041
47,https://pbjandfriends.com/ ,,(801) 997-6839,,1305 Commerce Dr,Suite 120,Saratoga Springs,UT,84045
48,www.PerfectPiece.org,,(508) 733-7279,Lauren@PerfectPiece.org,9980 S 300 W,Ste 200,Sandy,UT,84070
49,www.carmenbpingree.com,,(801) 581-0194,,780 South Guardsman Way,,Salt Lake City,UT,84108
50,www.skillbuildersaba.com,,(801)448-6195,info@skillbuildersaba.com,,,,,
51,www.successonthespectrum.com,,(385) 486-4190,americanfork@successonthespectrum.com,36 N 1100 E,Suite B.,American Fork,UT,84003
52,www.summitbehaviorservicesutah.weebly.com,,(435) 275-8911,,162 N 400 E,Suite A105,St. George,UT,84770
53,www.radiantbehavior.com,www.radiantbehavior.com,,info@radiantbehavior.com,,,,,
54,http://www.retherapyservices.com/,,(801) 210-9319,,727 South Main Street,,Spanish Fork,UT,84660
55,www.reachingmilestones.com,,(678) 656-4716,,365 W 1550 N,,Layton,UT,84041
56,https://roguebehaviorservices.com/,,(385) 321-7880,info@roguebx.com,,,,,
57,www.transitionalbehaviorsupport.com,,(385) 245-2555,leslielilino@transitionalbehaviorsupport.com,,,,,
58,http://utahautismacademy.com,Midvale,(801) 456-9955 ,,7434 S. State Street,,Midvale,UT,84047
58,http://utahautismacademy.com,Orem,(801) 437-0490,,1875 S. Geneva Road,,Orem,UT,84058
58,http://utahautismacademy.com,St. George,,,1680 East 230 North,,St. George,UT,84790
59,http://utahbehaviorservices.com,http://utahbehaviorservices.com,(801) 255-5131,office@utbs.com,,,,,
60,www.thewholechildtherapy.com/,,(801) 210-9319,contactus@twctherapy.com,1570 North Main Street,,Spanish Fork,UT,84660
